app,machine,scene,layout,intersect,ray_count,hits,trace_time-ms,group,ray_type,total-memory-b,bvh-memory-b
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,8388608,8376081,681,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,262144,261744,23,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,524288,523487,45,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,1048576,1046997,91,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,2097152,2094006,182,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,4194304,4188024,363,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,8388608,8376081,724,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,262144,261744,24,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,524288,523487,49,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,1048576,1046997,93,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,2097152,2094006,184,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,4194304,4188024,370,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,8388608,8376081,744,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,262144,261744,24,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,524288,523487,47,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,1048576,1046997,94,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,2097152,2094006,187,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,4194304,4188024,375,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,8388608,8376081,756,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,262144,261744,23,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,524288,523487,44,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,1048576,1046997,89,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,2097152,2094006,177,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,4194304,4188024,355,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,8388608,8376081,712,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,262144,261744,24,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,524288,523487,48,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,1048576,1046997,95,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,2097152,2094006,189,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,4194304,4188024,379,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,8388608,8376081,763,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,262144,261744,23,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,524288,523487,44,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,1048576,1046997,86,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,2097152,2094006,172,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,4194304,4188024,343,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,8388608,8376081,691,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,262144,261744,26,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,524288,523487,52,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,1048576,1046997,100,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,2097152,2094006,200,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,4194304,4188024,402,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-qbvh8i,pc,8388608,8376081,804,embree,primary,306746228,-47225068
rt,x86,san-miguel-x35-y22-z47,embree-bvh8i,mt,262144,261744,21,embree,primary,371136135,17164839
rt,x86,san-miguel-x35-y22-z47,embree-bvh8i,mt,524288,523487,42,embree,primary,371136135,17164839
