app,machine,scene,layout,ray_count,hits,trace_time-ms,group,ray_type,total-memory-b,bvh-memory-b
rt,x86,lucy,pbrt-q16-soaos,8388608,6308380,279,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,262144,196779,14,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,524288,393812,21,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,1048576,787966,39,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,2097152,1576388,75,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,4194304,3153714,144,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,8388608,6308380,284,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,262144,196779,13,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,524288,393812,20,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,1048576,787966,38,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,2097152,1576388,74,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,4194304,3153714,147,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,8388608,6308380,279,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,262144,196779,14,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,524288,393812,21,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,1048576,787966,38,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,2097152,1576388,75,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,4194304,3153714,144,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,8388608,6308380,279,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,262144,196779,12,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,524288,393812,20,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,1048576,787966,39,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,2097152,1576388,74,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,4194304,3153714,145,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,8388608,6308380,279,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,262144,196779,14,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,524288,393812,20,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,1048576,787966,41,bvh2,primary,1095462448,85456240
rt,x86,lucy,pbrt-q16-soaos,2097152,1576388,77,bvh2,primary,1095462448,85456240
